a) bidhya devi shah    b)bidhya devi bhandari     c) bidhya devi Rana    d) bidhyya devi kumari
a) 4 bits 	b) 2 bits 	c) 8bits	d) 12 bits
a) bishwas dhakal	b) suman dhakal	c) binod chaudhary	d) bijaya lama
(A) River Severn	(B) River Thames    (C) River Severn 	(D) None of the above
(A) Burj Khalifa, Dubai	(B) CN Tower, Canada	(C) Canton Tower, China		(D) KL Tower, Malaysia
(A) North America    (B) Asia	(C) Africa	(D) Europe
(A) Barcelona	(B) Madrid	(C) Seville	(D) Lisbon
(A) Canada	(B) USA	(C) Finland	(D) Brazil
(A) England	(B) Franch	(C) Russia	(D) China
(A) New Zealand	(B) Japan	(C) Australia	(D) Thailand
(A) South Africa	(B) Peru	(C) Norway	(D) Venezuela
(A) Seine	(B) Thames	(C) Nile	(D) Volga
(A) Russia	(B) Canada	(C) Brazil	(D) USA
(A) Himalaya	(B) Andes	(C) Rocky Mountains	(D) Ural Mountains
(A) 45	(B) 50	(C) 51	(D) 75
